Category,Marks,Question,Answer
అంకెలు,100,కుర్చీకి ఎన్ని కాళ్లు ఉంటాయి?,కుర్చీకి నాలుగు కాళ్లు ఉంటాయి.
అంకెలు,100,ఈ అంకెని తెలుగులో చెప్పండి? 55,యాభై ఐదు
అంకెలు,100,97 ని తెలుగులో చెప్పండి.,తొంభై ఏడు
అంకెలు,100,భారతీయుడు కనిపెట్టిన అంకె ఏమిటి?,సున్న
అంకెలు,100,ఒక గంటలో ఎన్ని నిమిషాలు ఉంటాయి?,అరవై నిమిషాలు
అంకెలు,100,భారతదేశంలో ఆటో రిక్షాకి ఎన్ని చక్రాలు ఉంటాయి?,మూడు
అంకెలు,100,"ఐదుని పదితో హెచ్చించి, ఎనిమిది తీసివేస్తే ఎంత మిగులుతుంది?",నలభై రెండు
అంకెలు,100,కుర్చీకి ఎన్ని కాళ్లు ఉంటాయి?,కుర్చీకి నాలుగు కాళ్లు ఉంటాయి.
అంకెలు,100,ఈ అంకెని తెలుగులో చెప్పండి? 55,యాభై ఐదు
అంకెలు,100,97 ని తెలుగులో చెప్పండి.,తొంభై ఏడు
అంకెలు,100,9 ఈ సంఖ్య ఎంత?,తొమ్మిది
అంకెలు,100,భారతీయుడు కనిపెట్టిన అంకె ఏమిటి?,సున్న
అంకెలు,100,ఒక గంటలో ఎన్ని నిమిషాలు ఉంటాయి?,అరవై నిమిషాలు
అంకెలు,100,భారతదేశంలో ఆటో రిక్షాకి ఎన్ని చక్రాలు ఉంటాయి?,మూడు
అంకెలు,100,"ఐదుని పదితో హెచ్చించి, ఎనిమిది తీసివేస్తే ఎంత మిగులుతుంది?",నలభై రెండు
అంకెలు,200,ఒక చేతికి ఎన్ని వేళ్లు ఉంటాయి?,ఐదు వేళ్లు
అంకెలు,200,తొమ్మిది పక్కన సున్న ఉంటే వచ్చే సంఖ్య ఎంత?,తొంభై
అంకెలు,200,పంచ అని ఏ అంకెని పిలుస్తారు?,ఐదు
అంకెలు,200,ఏక అని ఏ అంకెను పిలుస్తారు?,ఒకటి
అంకెలు,200,అరడజను అంటే ఎన్ని?,ఆరు
అంకెలు,200,ఇరవై ఒకటి నుంది మూడు తీసివేస్తే ఎంత మిగులుతుంది?,పద్దినిమిది
అంకెలు,200,ఒక కోటిలో ఎన్ని సున్నాలు ఉంటాయి?,ఏడు సున్నాలు
అంకెలు,200,ఒక చేతికి ఎన్ని వేళ్లు ఉంటాయి?,ఐదు వేళ్లు
అంకెలు,200,తొమ్మిది పక్కన సున్న ఉంటే వచ్చే సంఖ్య ఎంత?,తొంభై
అంకెలు,200,పంచ అని ఏ అంకెని పిలుస్తారు?,ఐదు
అంకెలు,200,ఏక అని ఏ అంకెను పిలుస్తారు?,ఒకటి
అంకెలు,200,అరడజను అంటే ఎన్ని?,ఆరు
అంకెలు,200,ఇరవై ఒకటి నుంది మూడు తీసివేస్తే ఎంత మిగులుతుంది?,పద్దినిమిది
అంకెలు,200,ఒక కోటిలో ఎన్ని సున్నాలు ఉంటాయి?,ఏడు సున్నాలు
అంకెలు,300,పదికి రెండు కలిపి చెప్పండి?,పన్నెండు
అంకెలు,300,ఇరవై కి పది కలిపితే వచ్చే సంఖ్య ఎంత?,ముప్పై
అంకెలు,300,సరిసంఖ్యలు అనే అంకెలు చెప్పండి?,"2,4,6,8,10,12"
అంకెలు,300,జత చెప్పులు అంటే ఎన్ని చెప్పులు?,రెండు
అంకెలు,300,99కి 2 కలిపితే వచ్చే అంకె తెలుగులో చెప్పండి?,నూట ఒకటి
అంకెలు,300,పదికి రెండు కలిపి చెప్పండి?,పన్నెండు
అంకెలు,300,ఇరవై కి పది కలిపితే వచ్చే సంఖ్య ఎంత?,ముప్పై
అంకెలు,300,సరిసంఖ్యలు అనే అంకెలు చెప్పండి?,"2,4,6,8,10,12"
అంకెలు,300,జత చెప్పులు అంటే ఎన్ని చెప్పులు?,రెండు
అంకెలు,300,Addition ని తెలుగులో ఏమని అంటారు?,కలపటము / కూడిక / సంకలనము
అంకెలు,300,99కి 2 కలిపితే వచ్చే అంకె తెలుగులో చెప్పండి?,నూట ఒకటి
అంకెలు,300,ఈ అంకెను తెలుగులో చదవండి: 786,ఏడు వందల ఎనభై ఆరు
అంకెలు,400,పదిహేను అంకెను ఇంగ్లీషులో చెప్పండి?,Fifteen
అంకెలు,400,ఇరవై తరువాత వచ్చే సంఖ్య ఏమిటి?,ఇరవై ఒకటి
అంకెలు,400,20-5 =? తెలుగులో చెప్పాలి.,పదిహేను
అంకెలు,400,"ఏకాదశ, ద్వాదశ అంటే ఎంత?","ఏకాదశ - 11, ద్వాదశ - 12"
అంకెలు,400,పదిహేను ఈ అంకెను ఇంగ్లీషులో చెప్పండి?,Fifteen
అంకెలు,400,ఇరవై తరువాత వచ్చే సంఖ్య ఏమిటి?,ఇరవై ఒకటి
అంకెలు,400,20-5 =? తెలుగులో చెప్పాలి.,పదిహేను
అంకెలు,400,"ఏకాదశ, ద్వాదశ అంటే ఎంత?","ఏకాదశ - 11, ద్వాదశ - 12"
అంకెలు,400,Subtraction ని తెలుగులో ఏమని అంటారు?,తీసివెయ్యటం / తీసివేత
అంకెలు,400,రెండుతో విభజిస్తే ఒకటి మిగిలిపోయే సంఖ్యలను ఏమని పిలుస్తారు?,బేసి సంఖ్యలు
అంకెలు,500,తొమ్మిదికి ముందు ఒకటి చేర్చితే వచ్చే అంకె?,పది
అంకెలు,500,అష్టదిక్కులు ఎన్ని? చతుర్దశి ఏ రోజు?,"అష్టదిక్కులు ఎనిమిది, చతుర్దశి పద్నాలుగవ రోజు"
అంకెలు,500,దశ అంటే ఏ సంఖ్య?,పది
అంకెలు,500,1 తరువాత రెండు సున్నాలు ఉంటే ఆ అంకె ఎంత?,వంద
అంకెలు,500,పదిహేనుని రెండు తో హెచ్చిస్తే (గుణించితే) ఎంత?,ముప్పై
అంకెలు,500,గణితశాస్తానికి భారతీయులు అందించిన అంక ఏమిటి?,సున్న
అంకెలు,500,తొమ్మిదికి ముందు ఒకటి చేర్చితే వచ్చే అంకె?,పది
అంకెలు,500,అష్టదిక్కులు ఎన్ని? చతుర్దశి ఎన్నవ రోజు?,"అష్టదిక్కులు ఎనిమిది, చతుర్దశి పద్నాలుగవ రోజు"
అంకెలు,500,దశ అని ఏ సంఖ్యని పిలుస్తారు?,పది
అంకెలు,500,1 తరువాత రెండు సున్నాలు ఉంటే ఆ అంకె ఎంత?,వంద
అంకెలు,500,పదిహేనుని రెండు తో హెచ్చిస్తే (గుణించితే) ఎంత?,ముప్పై
అంకెలు,500,గణితశాస్తానికి భారతీయులు అందించిన అంక ఏమిటి?,సున్న
అంకెలు,500,షోడశోపచారాలు అనే పూజా విధానంలో ఎన్ని ఉపచారాలు ఉంటాయి?,పదహారు ఉపచారాలు
అంకెలు 26-100,100,వంద అంకెలో రెండు సున్నాలు ఉంటాయి. ఇది నిజమేనా?,"అవును, వంద అంకెలో రెండు సున్నాలు ఉంటాయి."
అంకెలు 26-100,100,రెండు పాతికలు ఎంత?,రెండు పాతికలు యాభై.
అంకెలు 26-100,200,50 ఈ సంఖ్యని తెలుగులో ఏమని అంటారు?,ఈ సంఖ్యను తెలుగులో యాభై అంటారు.
అంకెలు 26-100,200,అరవై ఆరుకి ముప్పె మూడు కలిపితే ఎంత వస్తుంది?,అరవై ఆరుకి ముప్పె మూడు కలిపితే తొంభై తొమ్మది వస్తుంది.
అంకెలు 26-100,300,ఈ అంకెను తెలుగులో చెప్పండి: 27,ఈ అంకెను తెలుగులో ఇరవై ఏడు అంటారు.
అంకెలు 26-100,300,ఈ సంఖ్యని తెలుగులో చెప్పండి: 56,ఈ సంఖ్యని తెలుగులో యాభై ఆరు అంటారు.
అంకెలు 26-100,400,Seventy one తెలుగులో ఏమని అంటారు?,Seventy one తెలుగులో డెబ్బై ఒకటి అంటారు.
అంకెలు 26-100,400,ఎనభై నాలుకి మూడు కలిపితే వచ్చే సంఖ్య ఎంత?,ఎనభై నాలుకి మూడు కలిపితే వచ్చే సంఖ్య ఎనభై ఏడు.
అంకెలు 26-100,500,తొంభై ఎనిమిదిని ఇంగ్లీషులో ఏమంటారు?,తొంభై ఎనిమిదిని ఇంగ్లీషులో ninety eight అంటారు.
అంకెలు 26-100,500,వందకి ఇంకొక పేరు చెప్పండి?,వందకి ఇంకొక పేరు నూరు లేదా శతం.
శరీరభాగాలు,100,"\Hands\"" ను తెలుగులో పమంటారు?""","\Hands\"" ను తెలుగులో 'చేతులు' అంటారు."""
శరీరభాగాలు,100,మనిషికి ఎన్ని చేతులు ఉంటాయి?,మనిషికి రెండు చేతులు ఉంటాయి.
శరీరభాగాలు,100,మనకు రుచి దేని వలన తెలుస్తుంది?,మనకు రుచి నాలుక వలన తెలుస్తుంది.
శరీరభాగాలు,100,లంగ్స్‌ ని తెలుగులో ఏమంటారు?,లంగ్స్‌ ని తెలుగులో 'ఊపిరితిత్తులు' / 'శ్వాసకోశాలు' అని అంటారు.
శరీరభాగాలు,100,సూర్యుడిని నేరుగా చూడటం వల్ల ఏ అవయవం దెబ్బతింటుంది?,సూర్యుడిని నేరుగా చూడటం వల్ల 'కళ్ళు' దెబ్బతింటాయి.
శరీరభాగాలు,100,గాలి పీల్చుకోవటానికి / వాసన చూడటానికి ఏ శరీరభాగం కావాలి?,గాలి పీల్చుకోవటానికి / వాసన చూడటానికి 'ముక్కు' కావాలి.
శరీరభాగాలు,100,మెడకి ఇంకో పేరు ఏమిటి?,మెడకి ఇంకో పేరు 'కంఠం' / 'గ్రీవము'.
శరీరభాగాలు,200,నువ్వు వేటి తో చూడగలవు?,నేను కళ్ళతో చూడగలను.
శరీరభాగాలు,200,మనిషికి ఎన్ని కాళ్ళు ఉంటాయి?,మనిషికి రెండు కాళ్ళు ఉంటాయి.
శరీరభాగాలు,200,శిరము అంటే ఏ శరీర భాగము?,శిరము అంటే 'తల'.
శరీరభాగాలు,200,"చేదు, తీపి తేడా చెప్పే శరీరభాగం ఏమిటి?","చేదు, తీపి తేడా చెప్పే శరీరభాగం 'నాలుక'."
శరీరభాగాలు,300,"\Face\"" ను తెలుగులో పమంటారు?""","\Face\"" ను తెలుగులో 'ముఖము' అంటారు."""
శరీరభాగాలు,300,మనిషి గుండె ఏ వైపు ఉంటుంది?,మనిషి గుండె ఎడమ వైపున ఉంటుంది.
శరీరభాగాలు,300,కర్ణము అంటే ఏ శరీర భాగము?,కర్ణము అంటే 'చెవి'.
